ffq_Id,,Ile (Isoleucine),Leu (Leucine),Lys (Lysine),Met (Methionine),Cys (Cysteine),Phe (Phenylalanine),Tyr (Tyrosine),Thr (Threonine),Try (Tryptophan),Val (Valine),Arg (Arginine),His (Histidine),Ala (Alanine),Asp (Aspartic Acid),Glu (Glutamic acid),Gly (Glycine),Pro (Proline),Ser (Serine)
R_0NbpKB19iv628AV,3236.18,5615.01,3952.09,1482.49,1181.2,3572.71,2482.53,2698.91,969.14,3872.34,4862.03,1926.35,3365.28,6607.16,15727.34,3150.12,5326.21,3996.26
R_0p0DtMJHJSsSRj3,2664.12,4841.68,3267.56,1181.58,797.1,2927.28,2059.25,2239.48,776.48,3335.64,3737.59,1510.39,2354.08,5258.08,12988,2011.85,4637.41,3187.15
R_1156aqkUgYPpIc2,3511.21,5816.23,5360.38,1655.36,1075.03,3567.91,2624.94,3083.23,968.8,4071.29,5178.54,2088.39,3761.98,8006.6,13969.9,3345.91,4090.34,3610.6
R_11hVpQxJ0l0b1fT,6088.42,10907.12,8018.1,2849.24,2147.13,6796.1,5015.98,5207.53,1789.42,7329.07,9545.04,3765.5,6356.34,12767.41,30437.45,5957.58,10156.62,7355.73
R_1Bb72ce7bmyG2Wt,4457.27,7773.4,5836.02,2027.98,1551.04,5063.8,3454.72,3901.45,1326.9,5565.73,6941.84,2689.47,4531.5,9816.56,20819.42,4201.96,7220.47,5317.04
R_1CwpmACrLuSIijQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_1DNCdXhjnLJVWU1,2879.51,4951.77,3790.57,1333.37,923.41,3089.75,2134.92,2489.31,847.76,3480.71,3763.12,1681.93,2696.61,5692.8,13534.48,2366.18,4807.65,3226.67
R_1DPanS6Q8QS5J9W,4952.75,8765.3,6180.54,2355.9,1732.76,5252.67,3656.16,4248.16,1378.08,6064.34,5271.28,2734.51,4636.06,9382.41,24380.04,3763.11,9430.13,5737.77
R_1dtQ9CgW8sB4vfz,9512.16,16802.42,12864.67,4431.87,2826.22,10294.64,7450.36,8240.71,2703.56,11779.49,13904.22,5713.9,9632.36,20439.43,41880.07,8561.67,14359.69,11005.74
R_1ercfe5yfwAI9w2,4146.19,6934.13,4792.68,1642.74,1539.63,4459.85,2845.98,3481.21,1308.06,4982.06,6063.35,2292.25,3578.83,8755.28,20253.47,3372.92,6758.32,4569.66
R_1eXzb1e5jTn5a0F,2195.99,3741.36,2430.12,881.6,956.54,2484.03,1596.18,1874.19,697.46,2701.55,3186.16,1212.82,1998.45,4999.31,11034.6,1948.85,3601.29,2508.22
R_1EZqzQ5ACibkqCT,4566.88,7617.09,5861.15,2092.61,1603.63,4863.79,3342.74,3891.91,1325.12,5472.55,5902.23,2553.41,4422.61,10137.84,21064.43,3975.94,6904.91,5120.13
R_1g6zYVom7m8bzdr,13118.8,22583.8,15271.51,6182.24,5129.31,14404.95,9578.9,11065.21,3834.82,15876.69,16933.54,7591.68,12865.16,25942.02,64816.59,11554.13,22774.7,16111.37
R_1geBbLb6x8ehco6,1529.54,2613.57,1803.57,606.52,599.89,1766.76,1203.48,1337.29,506.97,1884.36,2610.89,881.15,1552.38,4308.68,7294.19,1536.2,2431.17,1817.6
R_1gnzvdAnBbcOUaS,4577.67,8846.91,3550.01,2152.37,3145.7,5829.01,3949.58,3719.2,1518.86,5876.86,6187.74,2780.05,4442.34,6618.39,37521.11,4664.66,14146.09,7000.16
R_1gSld5MSJF62vAZ,7965.36,13780.98,10677.92,3837.08,2475.87,8239.63,6102.26,6806.99,2254.1,9694.58,9990.57,4643.42,7977.05,15809.89,35384.26,7011.38,12496.24,8979.64
R_1GTFlHxBaIi85d0,3163.36,5820.56,3395.63,1508.15,1308.82,3580.06,2557.68,2635.11,918.98,3950.28,3559.95,1795.84,2804.51,5431.9,18468.63,2483.47,7015.97,4034.9
R_1GwDXTWHJ2FfJ6F,5935.19,10115.65,8086.82,2768.8,1948.14,6289.6,4426.75,5126.82,1676.91,7047.92,8318.96,3558.68,6040.91,11926.37,27010.49,5569.96,9210.74,6555.98
R_1GZy19pqX77B11j,5302.42,9033.31,6946.43,2440.8,1895.54,5549.44,3815.74,4535.93,1531.01,6185.16,6372.36,3046.76,5108.46,9324.25,24789.68,4357.86,8838.76,5864.97
R_1He2FWQIaidsB24,2625.95,4552.36,3730.13,1322.04,827.51,2704.55,2047.38,2330.54,733.73,3211.71,3373.24,1577.74,2769.63,5453.19,11533.5,2519.72,4221.33,2920.52
R_1Hxx2zLXxRQh6eJ,1951.04,3249.45,3105.51,942.88,600.46,1977.93,1429.41,1760.99,529.52,2223.97,2910.03,1187.01,2332.36,4122.19,7491.88,2052.36,2241.93,1988.72
R_1hydOj1LX0eoJXn,2789.79,4779.38,3697.96,1169.74,866.11,3233.04,2313.39,2415.91,829.04,3357.95,5222.1,1724.49,3081.71,7472.3,11585.82,3020.1,3347.07,3355.75
R_1ifb9FJM45hJO0h,1887.55,3135.06,2897.9,893.62,643.38,1953.61,1367.36,1662.52,517.38,2145.33,2727.81,1170.62,2125.65,4174.71,8308.09,2062.53,2628.18,1963.06
R_1jcTdhxd5lls5de,4329.11,7726.54,4665.81,1948.67,1679.67,4863.58,3219.73,3601.8,1281.69,5358.98,4719.58,2404.12,3722.33,7400.75,23290.35,3180.42,8597.52,5408.95
R_1jdHfQVUYhbAXRq,3575.34,6398.68,4267.19,1636.69,1152.48,3869.59,2696.74,3050.27,1040.49,4492.18,3665.51,1998.61,2996.04,6364.96,17737.03,2448.23,6495.09,4039.58
R_1LnFQewUYebRYG5,19328.17,33515.31,27961.02,8877.11,6010.5,20112.77,14031.23,17102.09,5285.07,23170.92,26630.93,11545.66,19852.18,39750.79,83152.78,17471.04,31774.99,21603.49
R_1LogO0bs2pvvhyx,19650.46,33584.82,30521.72,9918.68,5513.21,19505.48,14903.17,17776.48,5418.92,23393.3,29042.1,11128.94,21230.86,42061.99,75558.03,18783.77,24176.52,20333.59
R_1lxC6syLEu75Zpx,37667.46,66347.99,45999.14,16683.21,15063.77,42755.7,28270.88,32364.51,11605.13,45558.56,61207.02,22526.4,40661.36,80362.02,191936.33,40102.37,67220.23,45469.91
R_1M0T3D3yXj7riyq,11522.56,19706.66,14781.18,5574.12,4296.06,12454.21,8710.2,10120.97,3322.12,13955.26,16049.15,6818.4,12414.76,23483.9,54862.24,10951.28,18401.6,13958.72
R_1MR4iKzBxb3NQ94,4359.61,7735.51,4880.82,1925.01,1498.75,4910.21,3375.96,3631.46,1347.32,5403.28,5894.08,2510.16,4005.93,8453.48,21918.69,3586.24,7554.48,5332.71
R_1Ny6EKBteWI8v83,2746.88,5033.2,2878.6,1138.99,1056.89,3357.9,2251.61,2253.57,873.84,3360.45,4930.14,1675.21,2822.48,6627.91,14476.9,2857.29,4798.52,3530.01
R_1oAWDWToD6mhdZ6,3042.52,5380.26,3572.17,1312.7,1000.43,3437.94,2313.28,2528.01,936.56,3753.07,4636,1747.38,2768.54,6324.69,14736.92,2537.96,5170.86,3699.79
R_1ojzAvfOHO7dDsd,12757.36,23084.44,14812.95,6107.38,4895.09,14404.16,9689.34,10914.33,3648.02,16156.24,14420.46,7389.76,12074.33,22429.81,70815.95,10520.26,27574.88,15547.02
R_1Olwvt9gzUUhyWW,4670.11,8191.08,5050.74,2071.02,2143.32,5373.51,3536.32,3870.84,1434.46,5586.03,6928.11,2712.41,4626.42,9073.15,27123.86,4451.51,9317.41,5983.9
R_1py3Ps3tV913Ji7,4762.54,8204.51,5560.57,2079.74,1766.67,5208.69,3426.23,4225.39,1508.96,6031.68,5854.8,2538.03,4354.42,9750.41,23128.95,3745.81,8921.87,5727.38
R_1q9b1Bgs3Rc6rzh,3903.31,6732.69,4763.23,1784.47,1396.55,4241.01,2834.9,3417.42,1125.31,4750.32,4689,2202,3786.74,7638.93,18433.76,3106.49,6354.71,4613.54
R_1rdAjRUF6kEIyOF,2834.18,5029.02,2913.81,1142.22,1065.58,3389.88,2205.53,2239.52,941.2,3444.48,5307.17,1658.74,2789.62,6513.12,15264.95,2901.38,4885.71,3704.94
R_1rJv63ir1cSlpLz,4291.51,7467.13,5050.88,2044.19,1802.76,4662.33,3177.56,3634.56,1272.64,5123.01,5235.25,2486.13,4319.39,8029.09,22736.9,4022.01,8306.02,5280.81
R_1rulXLplMsV7qQ0,7938.71,13168.23,11830.15,3826.71,2763.9,8218.69,5741.75,7237.06,2251.39,9425.74,11576.39,4957.98,9090.62,17148.65,32213.21,8371.29,10791.23,8367.63
R_20ZQo7f0ZTlAvgC,5045.37,8453.8,7242.96,2437.83,1730.71,5251.83,3918.21,4454.74,1456.79,5949.06,7296.06,3062.33,5592.74,10818.05,21521.88,5221.54,7145.71,5681.66
R_211bIGMV1Em11mT,4601.61,8183.45,5465.26,2013.97,1419.32,5141.5,3596.38,3816.38,1416.9,5800.43,7377.49,2635.67,4253.03,9943.93,21167.05,3900.46,7175.6,5666.04
R_22M64faiglSp82Y,5621.87,9507.23,9300.71,2851.9,1765.75,5734.69,4143.76,5162.43,1514.85,6481.56,7485.46,3767.54,6844.22,11323.12,23458.21,6420.1,8174.19,5679.89
R_22xB4m0lLV5pzhY,6151.3,10836.65,8074.61,3023.25,1959.26,6401.72,4755.32,5327.21,1695.49,7665.56,6354.79,3474.85,5473.62,11222.23,28601.32,4310.82,10788.69,7088.44
R_24IRHI0MTsnCzBg,1444.7,2415.85,2108.14,737.15,453.36,1418.52,1053.07,1274.15,388.75,1703.37,1667.64,891.13,1533.84,2743.7,5931.58,1287.62,2050.4,1566.01
R_24IxCtuRa3RRKch,1955.27,3414.1,2290.52,786.06,799.44,2246.44,1471.51,1724.98,612.24,2434.23,2794.13,1151.51,2037.23,5254.13,9730.71,1853.4,3336.18,2341.57
R_25vi6iPkMVemloN,1932.73,3155.53,2758.47,960.39,653.74,1917.61,1388.97,1696.81,542.24,2255.74,2337.72,1117.25,2043.33,3855.04,7597.79,1713.47,2497.7,2065.67
R_26hy3KIqOW0KmXb,3949.38,6995.42,4386.15,1697.53,1491.08,4524.83,3132.9,3305.24,1204.48,4803.22,5876.59,2272.44,3810.48,8026.19,21336.73,3501.13,7160.72,4967.71
R_26kWET47S0O5Ywo,5493.99,9720.68,6879.71,2339.75,1653.42,6057.94,4236.36,4623.38,1604.6,6908.09,8514.56,3141.91,5137.99,11682.01,25036.22,4538.18,8668.16,6665.64
R_26pWotZ3Li7pnuV,4380.69,8543.04,3326.5,2077.2,3077.15,5641.61,3858.61,3571.89,1460.03,5622.16,5756.01,2677,4306.55,6205.19,36619.23,4499.28,13920.25,6805.27
R_27fAGWVpJwDRKG9,4604.05,8099.6,5531.96,2110.73,1610.52,4944.39,3454.8,3823.76,1292.23,5526.99,5804.84,2582.51,4187.71,8204.86,23723.53,3673.99,8395.38,5386.74
R_27fBFZe0Jk7FPqe,6323.62,10658.35,7682.31,2957.67,2651.25,6740.93,4452.61,5376.87,1766.53,7223.85,8086.29,3717.74,6615.85,12763.03,33803.21,6359.71,11817.12,7207.59
R_27kDTEGMFG0EjQf,2720.66,4750.84,3633.27,1293.53,892.32,2856.58,2030.71,2354.15,748.45,3263.12,3347.01,1556.15,2661.68,5329.62,12703.46,2306.97,4618.6,3035.21
R_29hrdI4Aj4xYKmi,6119.01,10184.44,8675.23,2994.16,2065.98,6292.21,4442.62,5352.02,1663.88,7049.35,8104.16,3655.25,6694.4,11886.17,27257.51,5966.15,8918.8,6521.85
R_29hz1DFwahC5of4,6573.78,11093.99,9183.13,3090.89,2218.47,6945.44,4810.95,5658.77,1930.63,7632.75,9764.6,4026.68,7097.4,14663.82,28231.31,6573.42,9228.56,7413.77
R_29iDZ6X6MTtxtUd,1662.09,2953.31,1891.78,668.38,633.01,1900.82,1289.95,1420.09,509.68,2045.3,2529.42,972.96,1636.04,3920.12,7598.21,1519.86,2373.46,1903.67
R_29vrewwSUJtu6Ky,3214.43,5399.8,4307.65,1384.76,708.84,3228.4,1796.21,2549.66,919.54,3509,2674.1,1834.52,2636.7,5120.5,11245,1875.97,4793.8,3370.1
R_2b1LmU7y21jivst,24236.54,40394.03,35741.42,12241.84,7495.34,23549.77,17531.63,21630.79,6468.23,28898.47,28629.63,13916.72,26029.74,46287.01,98588.42,21019.17,33063.34,26288
R_2Bap2bXQgfqCtFw,2593.62,4478.6,3012.61,1060.55,884.77,2961.18,2035.31,2202.84,786.43,3211.9,4255.67,1520.74,2448.18,5869.06,11806.52,2349.9,3751.68,3116.85
